game,achievement,description,achieved,unlocktime
Day of Defeat: Source,Double Cross,Kill an enemy by throwing back one of their team's grenades or riflegrenades,False,null
Day of Defeat: Source,Marksman,Score 5 consecutive headshots in a single round without dying,False,null
Day of Defeat: Source,Kilroy Was Here,Score 8 machinegun kills from a single deployed position,False,null
Day of Defeat: Source,Don't Bring a Gun,Win a knife fight,False,null
Day of Defeat: Source,AWOL,Play on 5 non-official Day of Defeat Source maps,False,null
Day of Defeat: Source,Rationing,"Kill 4 or more players with a single grenade, riflegrenade or bazooka shot",False,null
Day of Defeat: Source,Eviction Notice,Kill a deployed sniper or machinegunner from a distance greater than 100 feet with a rocket,False,null
Day of Defeat: Source,Take No Prisoners,"In a single life, kill 4 or more players in the victory time after winning a round",False,null
Day of Defeat: Source,Beachhead,Capture the final flag to win a round,False,null
Day of Defeat: Source,Trophy Collector,Score 5 or more kills in a single life using scavenged enemy weapons,False,null
Day of Defeat: Source,Putsch,Kill a machinegunner who has killed 8 or more players from a single deployed position,False,null
Day of Defeat: Source,Clean Sweep,Win Dod_Colmar without the other team detonating any bombs on your objectives,False,null
Day of Defeat: Source,Don't Tread on Me,Block a Flag Capture that would have won the round for the enemy team,False,null
Day of Defeat: Source,Hail Mary,"In Dod_Jagd, plant a bomb that explodes in overtime to extend the round",False,null
Day of Defeat: Source,Jack of All Trades,"In a single life, get a kill with an MG, Sniper Rifle, Rifle, SubMG and a Grenade",False,null
Day of Defeat: Source,Medal of Honor,Get 5000 kills as an Allied player,False,null
Day of Defeat: Source,Iron Cross,Get 5000 kills as an Axis player,False,null
Day of Defeat: Source,Dogface,Get 1000 kills as the Rifleman player class,False,null
Day of Defeat: Source,Point Man,Get 1000 kills as the Assault player class,False,null
Day of Defeat: Source,Squaddie,Get 1000 kills as the Support player class,False,null
Day of Defeat: Source,Head Hunter,Get 1000 kills as the Sniper player class,False,null
Day of Defeat: Source,The Iron Curtain,Get 1000 kills as the Machinegunner player class,False,null
Day of Defeat: Source,HEATer,Get 1000 kills as the Rocket player class,False,null
Day of Defeat: Source,Cookin' With Gas,Get 500 kills with the Garand,False,null
Day of Defeat: Source,Capo,Get 500 kills with the Thompson,False,null
Day of Defeat: Source,Sometimes the BAR Gets You,Get 500 kills with the BAR,False,null
Day of Defeat: Source,The Producer,Get 500 kills with the Springfield,False,null
Day of Defeat: Source,Johnnie Gun,Get 500 kills with the .30 Cal,False,null
Day of Defeat: Source,Rocket Powered,Get 500 kills with the Bazooka,False,null
Day of Defeat: Source,Bolt Action,Get 500 kills with the K98k,False,null
Day of Defeat: Source,The Big Burp,Get 500 kills with the MP40,False,null
Day of Defeat: Source,Storm of the Century,Get 500 kills with the MP44,False,null
Day of Defeat: Source,Wilhelm Tell,Get 500 kills with the K98 Sniper Rifle,False,null
Day of Defeat: Source,Linoleum Ripper,Get 500 kills with the MG42,False,null
Day of Defeat: Source,Tank Terror,Get 500 kills with the Pschreck,False,null
Day of Defeat: Source,Old School,Get 150 kills with the Colt,False,null
Day of Defeat: Source,Roscoe,Get 150 kills with the P38,False,null
Day of Defeat: Source,Broomhandler,Get 150 kills with the C96,False,null
Day of Defeat: Source,Carbineer,Get 150 kills with the M1 Carbine,False,null
Day of Defeat: Source,Cutthroat,Get 150 kills with the Knife,False,null
Day of Defeat: Source,Dig For Victory!,Get 150 kills with the Shovel,False,null
Day of Defeat: Source,Knuckleduster,Get 150 kills with your fists,False,null
Day of Defeat: Source,Egg Layer,Get 250 kills with the US Frag Grenade,False,null
Day of Defeat: Source,Potato Masher,Get 250 kills with the Stick Grenade,False,null
Day of Defeat: Source,Carpet Bomber,Get 250 kills with the Garand's Rifle Grenade,False,null
Day of Defeat: Source,Black Maria,Get 250 kills with the K98k's Rifle Grenade,False,null
Day of Defeat: Source,On the Warpath,Score 100 Flag Captures,False,null
Day of Defeat: Source,Nuts!,Block 100 Flag Captures,False,null
Day of Defeat: Source,Warlord,Win 100 rounds,False,null
Day of Defeat: Source,Demolition Man,Plant 100 bombs on enemy objectives,False,null
Day of Defeat: Source,Combat Engineer,Defuse 100 enemy bombs,False,null
Day of Defeat: Source,War Hero,Complete All Achievements,False,null
Day of Defeat: Source,Beat the Heat,Win a round on each of the winter themed maps: Dod_Kalt and Dod_Colmar,False,null
Day of Defeat: Source,Gift Grab,Collect three gifts dropped by opponents.,False,null
Half-Life 2,Defiant,no description available,False,null
Half-Life 2,Submissive,no description available,False,null
Half-Life 2,Malcontent,Escape the apartment block raid.,False,null
Half-Life 2,What cat?,Break the mini-teleporter in Kleiner's lab.,False,null
Half-Life 2,Trusty Hardware,Get the crowbar.,False,null
Half-Life 2,Barnacle Bowling,Kill five barnacles with one barrel.,False,null
Half-Life 2,Anchor's Aweigh!,Get the airboat.,False,null
Half-Life 2,Heavy Weapons,Get the airboat's mounted gun.,False,null
Half-Life 2,Vorticough,Discover the hidden singing vortigaunt cave in chapter Water Hazard.,False,null
Half-Life 2,Revenge!,Destroy the hunter-chopper in Half-Life 2.,False,null
Half-Life 2,Blast from the Past,Find the HEV Suit Charger faceplate in Eli's scrapyard.,False,null
Half-Life 2,Zero-Point Energy,Get the Gravity Gun in Black Mesa East.,False,null
Half-Life 2,Two Points,Use DOG's ball to make a basket in Eli's scrapyard.,False,null
Half-Life 2,Zombie Chopper,Play through Ravenholm using only the Gravity Gun.,False,null
Half-Life 2,Hallowed Ground,no description available,False,null
Half-Life 2,OSHA Violation,Kill 3 enemies using the crane.,False,null
Half-Life 2,Targetted Advertising,Pin a soldier to the billboard in chapter Highway 17.,False,null
Half-Life 2,Where Cubbage Fears to Tread,no description available,False,null
Half-Life 2,One Man Army,Destroy six gunships in Half-Life 2.,False,null
Half-Life 2,Keep Off the Sand!,Cross the antlion beach in chapter Sandtraps without touching the sand.,False,null
Half-Life 2,Bug Hunt,Use the antlions to kill 50 enemies.,False,null
Half-Life 2,Flushed,Kill an enemy with a toilet.,False,null
Half-Life 2,Warden Freeman,Survive the second turret standoff in Nova Prospekt.,False,null
Half-Life 2,Follow Freeman,Gain command of a squad of rebels in the uprising.,False,null
Half-Life 2,Radiation Levels Detected,Get through the toxic tunnel under City 17 in Half-Life 2.,False,null
Half-Life 2,Plaza Defender,Survive the generator plaza standoff in chapter Anticitizen One.,False,null
Half-Life 2,Counter-Sniper,Kill all of the snipers in City 17.,False,null
