game,achievement,description,achieved,unlocktime
Garry's Mod,Play Singleplayer,Play singleplayer at least once,False,null
Garry's Mod,Play Multiplayer,Play multiplayer at least once,True,2023-03-22 20:38:14
Garry's Mod,Startup Millenium,Start Garry's Mod 1000 times,False,null
Garry's Mod,Secret Phrase,Say the secret phrase,False,null
Garry's Mod,Addict,You have wasted a year of your life playing GMod!,False,null
Garry's Mod,Map Loader,Play 20 different maps,False,null
Garry's Mod,Play Around,Play a gamemode that isn't sandbox,True,2023-03-22 20:38:37
Garry's Mod,War Zone,Killed 1000 Baddies,False,null
Garry's Mod,Friendly,Play with 10 friends,False,null
Garry's Mod,"Yes, I am the real garry!",Play on the same server as garry,False,null
Garry's Mod,Marathon,Play on the same server & map for 8 hours,False,null
Garry's Mod,Half Marathon,Play on the same server & map for 4 hours,False,null
Garry's Mod,One Day,24 hours of your life wasted,False,null
Garry's Mod,One Week,One whole week of your life wasted,False,null
Garry's Mod,One Month,One whole month of your life wasted,False,null
Garry's Mod,Innocent Bystander,Kill 1000 innocent animals,False,null
Garry's Mod,Ball Eater,Eat 200 balls,False,null
Garry's Mod,Creator,Spawn 5000 props,False,null
Garry's Mod,Popper,Burst 1000 balloons,False,null
Garry's Mod,Destroyer,Remove 5000 things,False,null
Garry's Mod,Menu User,"Open the spawnmenu 100,000 times",False,null
Garry's Mod,Bad Coder,Experience 500 Lua programming errors,False,null
Garry's Mod,Procreator,Spawn 1000 NPCs,False,null
Garry's Mod,Dollhouse,Spawn 2000 ragdolls,False,null
Garry's Mod,Bad Friend,Kill 1000 friendly NPCs,False,null
Garry's Mod,10 Thumbs,Your Workshop uploads got 10 thumbs,False,null
Garry's Mod,100 Thumbs,Your workshop uploads got 100 thumbs,False,null
Garry's Mod,1000 Thumbs,Your Workshop uploads got 1000 thumbs,False,null
Garry's Mod,Mega Upload,Get 1000 thumbs on a single upload (then go to jail),False,null
Left 4 Dead 2,CL0WND,Honk the noses of 10 Clowns.,False,null
Left 4 Dead 2,FRIED PIPER,"Using a Molotov, burn a Clown leading at least 10 Common Infected. ",False,null
Left 4 Dead 2,LEVEL A CHARGE,Kill a Charger with a melee weapon while they are charging.,False,null
Left 4 Dead 2,ACID REFLEX,Kill a Spitter before she is able to spit.,True,2020-09-27 13:54:23
Left 4 Dead 2,CONFEDERACY OF CRUNCHES,Finish a campaign using only melee weapons.,False,null
Left 4 Dead 2,CRASS MENAGERIE,Kill one of each Uncommon Infected.,False,null
Left 4 Dead 2,A RIDE DENIED,Kill a Jockey within 2 seconds of it jumping on a Survivor.,True,2020-09-27 17:55:24
Left 4 Dead 2,HEAD HONCHO,Decapitate 200 Infected with a melee weapon.,False,null
Left 4 Dead 2,HEARTWARMER,"In a Versus round, leave the saferoom to defibrillate a dead teammate.",False,null
Left 4 Dead 2,STILL SOMETHING TO PROVE,Survive all campaigns on Expert.,False,null
Left 4 Dead 2,THE REAL DEAL,Survive a campaign on Expert skill with Realism mode enabled.,False,null
Left 4 Dead 2,STRENGTH IN NUMBERS,Form a team and beat an enemy team in 4v4 Versus or Scavenge.,False,null
Left 4 Dead 2,DEAD IN THE WATER,Kill 10 swampy Mudmen while they are in the water.,False,null
Left 4 Dead 2,ROBBED ZOMBIE,Collect 10 vials of Boomer vomit from infected CEDA agents you have killed.,False,null
Left 4 Dead 2,DISMEMBERMENT PLAN,Kill 15 Infected with a single grenade launcher blast.,False,null
Left 4 Dead 2,BURNING SENSATION,Ignite 50 Common Infected with incendiary ammo.,False,null
Left 4 Dead 2,ARMORY OF ONE,Deploy an ammo upgrade and have your team use it.,False,null
Left 4 Dead 2,SHOCK JOCK,Revive 10 dead Survivors with the defibrillator.,False,null
Left 4 Dead 2,THE QUICK AND THE DEAD,Revive 10 incapacitated Survivors while under the speed-boosting effects of adrenaline.,False,null
Left 4 Dead 2,CHAIN OF COMMAND,Kill 100 Common Infected with the chainsaw.,False,null
Left 4 Dead 2,SEPTIC TANK,Use a bile bomb on a Tank.,False,null
Left 4 Dead 2,CLUB DEAD,Use every melee weapon to kill Common Infected.,False,null
Left 4 Dead 2,TANK BURGER,Kill a Tank with melee weapons.,False,null
Left 4 Dead 2,BRIDGE OVER TREBLED SLAUGHTER,Cross the bridge finale in less than three minutes.,False,null
Left 4 Dead 2,PRICE CHOPPER,Survive the Dead Center campaign.,False,null
Left 4 Dead 2,MIDNIGHT RIDER,Survive the Dark Carnival campaign.,False,null
Left 4 Dead 2,RAGIN' CAJUN,Survive the Swamp Fever campaign.,False,null
Left 4 Dead 2,WEATHERMAN,Survive the Hard Rain campaign.,False,null
Left 4 Dead 2,BRIDGE BURNER,Survive the Parish campaign.,False,null
