game,achievement,description,achieved,unlocktime
Plants vs. Zombies: Game of the Year,Home Lawn Security ,Complete adventure mode ,False,null
Plants vs. Zombies: Game of the Year,Nobel Peas Prize ,Get the golden sunflower trophy ,False,null
Plants vs. Zombies: Game of the Year,Better Off Dead ,"Get to a streak of 10 in I, Zombie Endless ",False,null
Plants vs. Zombies: Game of the Year,China Shop ,Get to a streak of 15 in Vasebreaker Endless ,False,null
Plants vs. Zombies: Game of the Year,Immortal,Get to 20 flags in Survival Endless ,False,null
Plants vs. Zombies: Game of the Year,Morticulturalist,Collect all 49 plants ,False,null
Plants vs. Zombies: Game of the Year,Towering Wisdom ,Grow the Tree of Wisdom to 100 feet ,False,null
Plants vs. Zombies: Game of the Year,Cryptozombologist,Discover the top secret zombie ,False,null
Plants vs. Zombies: Game of the Year,Disco is Undead,Hypnotize the lead dancer zombie ,False,null
Plants vs. Zombies: Game of the Year,SPUDOW! ,Blow up a zombie using a potato mine ,True,2020-06-27 18:38:55
Plants vs. Zombies: Game of the Year,Explodonator,Blow up 10 zombies with a single cherry bomb ,False,null
Plants vs. Zombies: Game of the Year,Ask Me About Mustache Mode ,Enable Mustache Mode ,False,null
Plants vs. Zombies: Game of the Year,Don't Pea in the Pool,Complete a daytime pool level without using pea shooters of any kind.,False,null
Plants vs. Zombies: Game of the Year,Roll Some Heads,Bowl over 5 zombies with a single Wall-Nut.,False,null
Plants vs. Zombies: Game of the Year,Grounded,Defeat a normal roof level without using any catapult plants.,False,null
Plants vs. Zombies: Game of the Year,Penny Pincher,Pick up 30 coins in a row on a single level without letting any disappear.,False,null
Plants vs. Zombies: Game of the Year,Sunny Days,Get 8000 sun during a single level.,False,null
Plants vs. Zombies: Game of the Year,Popcorn Party,Defeat 2 Gargantuars with Corn Cob missiles in a single level.,False,null
Plants vs. Zombies: Game of the Year,Good Morning,Complete a daytime level by planting only Mushrooms and Coffee Beans.,False,null
Plants vs. Zombies: Game of the Year,No Fungus Among Us,Complete a nighttime level without planting any Mushrooms.,False,null
Plants vs. Zombies: Game of the Year,Beyond the Grave,Beat all 20 mini games.,False,null
Left 4 Dead 2,CL0WND,Honk the noses of 10 Clowns.,False,null
Left 4 Dead 2,FRIED PIPER,"Using a Molotov, burn a Clown leading at least 10 Common Infected. ",False,null
Left 4 Dead 2,LEVEL A CHARGE,Kill a Charger with a melee weapon while they are charging.,False,null
Left 4 Dead 2,ACID REFLEX,Kill a Spitter before she is able to spit.,False,null
Left 4 Dead 2,CONFEDERACY OF CRUNCHES,Finish a campaign using only melee weapons.,False,null
Left 4 Dead 2,CRASS MENAGERIE,Kill one of each Uncommon Infected.,False,null
Left 4 Dead 2,A RIDE DENIED,Kill a Jockey within 2 seconds of it jumping on a Survivor.,False,null
Left 4 Dead 2,HEAD HONCHO,Decapitate 200 Infected with a melee weapon.,False,null
Left 4 Dead 2,HEARTWARMER,"In a Versus round, leave the saferoom to defibrillate a dead teammate.",False,null
Left 4 Dead 2,STILL SOMETHING TO PROVE,Survive all campaigns on Expert.,False,null
Left 4 Dead 2,THE REAL DEAL,Survive a campaign on Expert skill with Realism mode enabled.,False,null
Left 4 Dead 2,STRENGTH IN NUMBERS,Form a team and beat an enemy team in 4v4 Versus or Scavenge.,False,null
Left 4 Dead 2,DEAD IN THE WATER,Kill 10 swampy Mudmen while they are in the water.,False,null
Left 4 Dead 2,ROBBED ZOMBIE,Collect 10 vials of Boomer vomit from infected CEDA agents you have killed.,False,null
Left 4 Dead 2,DISMEMBERMENT PLAN,Kill 15 Infected with a single grenade launcher blast.,False,null
Left 4 Dead 2,BURNING SENSATION,Ignite 50 Common Infected with incendiary ammo.,False,null
Left 4 Dead 2,ARMORY OF ONE,Deploy an ammo upgrade and have your team use it.,True,2020-06-28 22:20:46
Left 4 Dead 2,SHOCK JOCK,Revive 10 dead Survivors with the defibrillator.,False,null
Left 4 Dead 2,THE QUICK AND THE DEAD,Revive 10 incapacitated Survivors while under the speed-boosting effects of adrenaline.,False,null
Left 4 Dead 2,CHAIN OF COMMAND,Kill 100 Common Infected with the chainsaw.,False,null
Left 4 Dead 2,SEPTIC TANK,Use a bile bomb on a Tank.,False,null
Left 4 Dead 2,CLUB DEAD,Use every melee weapon to kill Common Infected.,False,null
Left 4 Dead 2,TANK BURGER,Kill a Tank with melee weapons.,False,null
Left 4 Dead 2,BRIDGE OVER TREBLED SLAUGHTER,Cross the bridge finale in less than three minutes.,False,null
