game,achievement,description,achieved,unlocktime
Ticket to Ride,Conductor Level 1,Play 20 games,False,null
Ticket to Ride,Conductor Level 2,Play 100 games,False,null
Ticket to Ride,Conductor Level 3,"Play 1,000 games",False,null
Ticket to Ride,Conductor Level 4,"Play 5,000 games",False,null
Ticket to Ride,Conductor Level 5,"Play 20,000 games",False,null
Ticket to Ride,Pressure Gauge 80,Score 80+,False,null
Ticket to Ride,Pressure Gauge 120,Score 120+,False,null
Ticket to Ride,Pressure Gauge 160,Score 160+,False,null
Ticket to Ride,Pressure Gauge 200,Score 200+,False,null
Ticket to Ride,Pressure Gauge 240,Score 240+,False,null
Ticket to Ride,Pressure Gauge 300,Score 300+ (in Mega variant).,False,null
Ticket to Ride,Pressure Gauge 400,Score 400+ (in Mega variant).,False,null
Ticket to Ride,3 Punched Tickets,3 completed (in standard game only),False,null
Ticket to Ride,6 Punched Tickets,6 completed (in standard game only),False,null
Ticket to Ride,9 Punched Tickets,9 completed (in standard game only),False,null
Ticket to Ride,12 Punched Tickets,12 completed (in standard game only),False,null
Ticket to Ride,15 Punched Tickets,15 completed (in standard game only),False,null
Ticket to Ride,Hobo,Win without completing any tickets,False,null
Ticket to Ride,Trestle,Win using no 1 or 2-space routes,False,null
Ticket to Ride,Hand Car,Win without using any locomotives,False,null
Ticket to Ride,Transcontinental,Win with a continuous route of 45 trains,False,null
Ticket to Ride,Coal Tender,Win while claiming all black routes,False,null
Ticket to Ride,Economy Class,Win without having more than 10 train cards in hand at any time.,False,null
Ticket to Ride,Poker Player,"Win while claiming all ""5"" routes.",False,null
Ticket to Ride,Old Movies,Win while only claiming grey routes.,False,null
Ticket to Ride,Railway Tycoon,Win while playing against 4 Vanderbot Jr (in standard game only).,False,null
Ticket to Ride,Dynamite Joe,Win without your opponent(s) having completed any of their tickets.,False,null
Ticket to Ride,Urban Traveller,Win while connecting all 7 Big Cities (in Big Cities variant).,False,null
Ticket to Ride,First Tracks,Win with your 5 initial tickets and no others (in Mega variant).,False,null
Ticket to Ride,Modest Entrepreneur,Win without any of the 2 bonuses (in Mega variant).,False,null
Ticket to Ride,Station Rat,Win on the Europe map while using all 3 Stations,False,null
Ticket to Ride,Orient Express,"Win on the Europe map with a Route connecting London, Paris, München, Wien, Budapest, Bucuresti and Constantinople",False,null
Ticket to Ride,Romanov Train,Win on the Europe map with a Route connecting all 11 Russian Empire cities Petrograd - Riga - Wilno - Warszawa - Smolensk - Moskva - Kyiv - Kharkov - Rostov - Sevastopol - Sochi,False,null
Ticket to Ride,National Railways,Win on the Europe map without your Long Destination Ticket,False,null
Ticket to Ride,Baltic Explorer,Win on the Europe map with a 45 trains Long Route going through the 8-spaces Tunnel,False,null
Ticket to Ride,Alphorn Player,Win on the Switzerland map without completing any Country-to-country or City-to-Country Ticket,False,null
Ticket to Ride,Chocolate Exporter,Win on the Switzerland map while connecting all 4 surrounding Countries,False,null
Ticket to Ride,Valley Commuter,Win on the Switzerland map without claiming any Tunnel route,False,null
Ticket to Ride,Ticket Puncher,Win on the Switzerland map with the deck of Destination Tickets empty at game end,False,null
Ticket to Ride,Lake Express,"Win on the Switzerland map while connecting all the great Swiss Lakes (Geneve or Lausanne, Neuchatel, Interlaken, Zurich, Lugano, Locarno, Kreuzlingen)",False,null
Ticket to Ride,Mountain Hermit,Win on the Legendary Asia map while only claiming Mountain routes,False,null
Ticket to Ride,Marco Polo,Win on the Legendary Asia map with the Asian Explorer Bonus connecting 22 Cities,False,null
Ticket to Ride,Double Trouble,Win on the Legendary Asia map while only claiming Double-routes,False,null
Ticket to Ride,Faster Than Mongolian Horse,Win on the Legendary Asia map in 24 turns or less,False,null
Ticket to Ride,Asia Passport,Win all achievements for the Legendary Asia map,False,null
Ticket to Ride,Fakir,Win on the India map without any Mandala Bonus,False,null
Ticket to Ride,British Raj Tour,"Win on the India map while connecting Delhi, Calcutta, Madras & Bombay in a single Mandala",False,null
Ticket to Ride,Hand of Kali,Win on the India map while preventing all opponent(s) from scoring any Mandala Bonus,False,null
Ticket to Ride,Indian Passport,Win all achievements for the India map,False,null
Ticket to Ride,Mandala Maharaja,Win on the India map with the 5 Mandalas Bonus,False,null
Ticket to Ride,Santa Express,Win with the Murmansk/Lieksa road,False,null
Ticket to Ride,Arctic Circle,"Win while connecting together the 7 cities north of the Arctic Circle: Narvik, Kiruna, Rovaniemi, Tromso, Kirkenes, Murmansk, Honningsvag",False,null
Ticket to Ride,The Pole Express,Connect Arhus to Honningsvag with 24 trains and win the game,False,null
Ticket to Ride,Land Lines,Win without using any ferries,False,null
Ticket to Ride,Nordic Passport,Win all achievements for the Nordic Countries map,False,null
Ticket to Ride,Money for your Mileage,Win with at least 3 destinations worth 10 or more points.,False,null
Ticket to Ride,In Diagonal we Trust,Win while connecting Cadiz to Petrograd or Edinburgh to Erzurum.,False,null
Ticket to Ride,Sunny Mediterranean,"Win while connecting Cadiz, Barcelona, Marseille, Roma and Palermo.",False,null
Ticket to Ride,Bow Tie Forbidden,"Win without passing by Zurich, München, Wien, Budapest, Zagrab nor Venezia.",False,null
Ticket to Ride,The Mole,Win while using at least 23 train cars in tunnels.,False,null
Ticket to Ride,Finger in Every Pie,Win with at least one share of each company.,False,null
